TimeStamp,ECR,FCR,ECU,FCU
312756.3437,-11023.86,-699.23,-1421.36,-4073.19
312756.3447,-10909.08,-589.66,-1328.33,-3964.62
312756.3457,-10781.72,-473.93,-1215.98,-3848.17
312756.3467,-10652.64,-358.82,-1089.43,-3727.63
312756.3477,-10548.93,-263.07,-991.82,-3630.83
312756.3487,-10503.29,-223.3,-949.0,-3592.35
312756.3497,-10506.58,-231.55,-956.39,-3606.99
312756.3507,-10536.43,-261.55,-996.88,-3642.94
312756.3517,-10597.18,-318.96,-1069.16,-3703.31
312756.3527,-10675.34,-393.82,-1151.75,-3785.71
312756.3537,-10770.18,-482.03,-1242.59,-3880.64
312756.3547,-10893.82,-588.56,-1368.0,-3995.85
312756.3557,-11018.85,-695.04,-1485.82,-4105.19
312756.3567,-11139.73,-798.65,-1571.61,-4208.28
312756.3577,-11248.07,-890.78,-1656.58,-4300.31
312756.3587,-11307.72,-938.61,-1710.03,-4347.75
312756.3597,-11326.74,-945.52,-1732.92,-4349.52
312756.3607,-11301.42,-919.77,-1704.79,-4319.38
312756.3617,-11236.29,-864.51,-1617.62,-4258.59
312756.3627,-11140.3,-780.77,-1522.64,-4170.47
312756.3637,-11026.0,-677.78,-1441.53,-4062.51
312756.3647,-10897.73,-559.38,-1308.87,-3934.81
312756.3657,-10780.48,-461.29,-1150.18,-3823.14
312756.3667,-10692.07,-394.77,-1072.07,-3752.33
312756.3677,-10593.84,-323.34,-999.88,-3676.37
312756.3687,-10524.85,-271.75,-946.76,-3631.78
312756.3697,-10497.86,-248.38,-925.49,-3616.67
312756.3707,-10501.62,-251.2,-930.98,-3622.01
312756.3717,-10524.32,-268.98,-962.59,-3649.57
312756.3727,-10594.37,-320.24,-1040.89,-3711.37
312756.3737,-10729.46,-432.68,-1173.02,-3825.38
312756.3747,-10890.2,-573.3,-1310.83,-3965.04
312756.3757,-11034.59,-705.39,-1438.19,-4097.51
312756.3767,-11145.4,-814.91,-1550.87,-4203.51
312756.3777,-11225.08,-886.87,-1635.65,-4279.8
312756.3787,-11264.52,-917.05,-1671.12,-4312.04
312756.3797,-11282.02,-924.78,-1676.32,-4321.05
312756.3807,-11292.27,-924.78,-1672.46,-4314.47
312756.3817,-11222.22,-859.88,-1597.02,-4246.14
312756.3827,-11113.74,-757.74,-1499.61,-4146.67
312756.3837,-10988.48,-644.06,-1380.25,-4030.94
312756.3847,-10889.2,-557.18,-1292.51,-3940.77
312756.3857,-10793.21,-477.65,-1214.7,-3852.18
312756.3867,-10688.35,-385.57,-1136.35,-3756.71
312756.3877,-10587.88,-298.93,-1077.75,-3670.22
312756.3887,-10522.32,-241.14,-1033.97,-3618.1
312756.3897,-10487.51,-209.05,-990.01,-3593.54
312756.3907,-10479.26,-209.76,-974.37,-3595.11
312756.3917,-10545.73,-278.85,-1022.2,-3663.92
312756.3927,-10664.04,-395.68,-1080.94,-3775.55
312756.3937,-10762.22,-493.96,-1154.71,-3873.87
312756.3947,-10869.08,-595.62,-1291.85,-3986.36
312756.3957,-10982.32,-698.04,-1424.84,-4090.45
312756.3967,-11096.91,-792.84,-1530.84,-4186.87
312756.3977,-11202.81,-881.86,-1633.45,-4278.28
312756.3987,-11255.55,-924.21,-1676.32,-4319.76
312756.3997,-11265.14,-924.06,-1670.07,-4319.57
312756.4007,-11256.41,-906.09,-1669.36,-4299.97
312756.4017,-11209.54,-854.3,-1624.06,-4242.9
312756.4027,-11112.79,-757.89,-1530.6,-4143.33
312756.4037,-11011.98,-662.33,-1443.86,-4044.58
312756.4047,-10907.46,-572.54,-1351.69,-3948.88
312756.4057,-10799.84,-483.27,-1240.92,-3854.32
312756.4067,-10698.32,-393.96,-1139.35,-3763.87
312756.4077,-10594.85,-304.65,-1052.24,-3681.56
312756.4087,-10536.53,-256.59,-1002.17,-3638.94
312756.4097,-10516.93,-242.76,-958.73,-3626.39
312756.4107,-10516.93,-246.1,-949.48,-3635.55
312756.4117,-10556.6,-289.01,-998.69,-3684.24
312756.4127,-10650.83,-375.89,-1096.3,-3775.31
312756.4137,-10758.4,-471.88,-1197.0,-3868.77
312756.4147,-10855.87,-562.24,-1298.24,-3956.13
312756.4157,-10972.12,-666.95,-1414.97,-4063.42
312756.4167,-11098.72,-783.54,-1522.68,-4184.58
312756.4177,-11216.64,-880.24,-1617.77,-4284.81
312756.4187,-11277.25,-928.26,-1676.66,-4334.4
312756.4197,-11260.75,-924.87,-1678.32,-4324.06
312756.4207,-11223.79,-889.54,-1652.62,-4288.63
312756.4217,-11173.49,-838.85,-1597.31,-4235.13
312756.4227,-11106.44,-773.72,-1522.45,-4166.13
312756.4237,-11020.42,-686.93,-1431.99,-4073.24
312756.4247,-10916.33,-585.6,-1325.66,-3968.1
312756.4257,-10797.36,-475.5,-1211.74,-3850.79
312756.4267,-10665.27,-361.87,-1094.01,-3730.77
312756.4277,-10560.13,-279.43,-1009.8,-3645.75
312756.4287,-10513.26,-238.23,-959.02,-3609.04
