TimeStamp,ECR,FCR,ECU,FCU,time_index
311839.8797,-31.85063955981133,-22.84533525129541,-97.3524887918876,-47.84742290278463,16.0
311839.8807,-38.854576724614546,-26.96791524283442,-95.86922778684612,-51.680855447869014,16.00099999998929
311839.8817,-46.12911648243527,-31.041842045093976,-93.56286815074122,-54.91164348682483,16.002000000036787
311839.8827,-53.482873926179515,-34.96796260819462,-90.46052554083658,-57.46418680739685,16.003000000026077
311839.8837,-60.71439070372638,-38.651701439293454,-86.59811978483502,-59.28041647149003,16.004000000015367
311839.8847,-67.62257730313738,-42.009811725181116,-82.02447676264299,-60.324529371908106,16.005000000004657
311839.8857,-74.01661324771764,-44.97606490438693,-76.80491651002878,-60.58651639714166,16.005999999993946
311839.8867,-79.724621355783,-47.50535227211363,-71.02383325257522,-60.08410402856893,16.006999999983236
311839.8877,-84.60056878742424,-49.575827353223865,-64.7858683675944,-58.86286189615033,16.008000000030734
311839.8887,-88.52902373240138,-51.188906115619034,-58.2154077750889,-56.99438558557235,16.009000000020023
311839.8897,-91.42759496476552,-52.367145419437215,-51.45428816251794,-54.57263012706096,16.010000000009313
311839.8907,-93.24708343928826,-53.1502190463498,-44.657757463082696,-51.70862965861143,16.010999999998603
311839.8917,-93.96956244293101,-53.58938656667711,-37.98888973053671,-48.52397803438748,16.011999999987893
311839.8927,-93.60475953434556,-53.74098698997999,-31.611789771507347,-45.14355106479931,16.01300000003539
311839.8937,-92.1852272148584,-53.65957439874468,-25.684027707488074,-41.68801435194661,16.01400000002468
311839.8947,-89.7608522143042,-53.391339460268526,-20.348810299949125,-38.26667617634878,16.01500000001397
311839.8957,-86.3932628134257,-52.968427398585355,-15.727420308057416,-34.971211993403664,16.01600000000326
311839.8967,-82.1506522185514,-52.404673937717135,-11.912437102784233,-31.870709710625224,16.01699999999255
311839.8977,-77.10345064997554,-51.69314532543702,-8.96219460375464,-29.008370972901186,16.01799999998184
311839.8987,-71.32116007385655,-50.805700394655425,-6.896842839975172,-26.400064302944624,16.019000000029337
311839.8997,-64.87052630044977,-49.69460805835844,-5.696265968902061,-24.034774304454334,16.020000000018626
