TimeStamp,ECR,FCR,ECU,FCU
311823.9717,-12823.06,-2582.03,-4142.43,-7129.29
311823.9727,-12710.91,-2461.72,-4037.33,-7021.24
311823.9737,-12584.5,-2325.44,-3923.8,-6902.46
311823.9747,-12458.52,-2184.2,-3811.31,-6785.25
311823.9757,-12347.51,-2061.94,-3713.94,-6682.68
311823.9767,-12246.56,-1946.54,-3621.24,-6584.93
311823.9777,-12161.4,-1854.99,-3540.37,-6508.16
311823.9787,-12132.93,-1823.85,-3510.76,-6486.18
311823.9797,-12141.61,-1832.91,-3519.73,-6500.67
311823.9807,-12182.52,-1883.6,-3555.92,-6543.59
311823.9817,-12270.02,-1980.59,-3632.5,-6626.46
311823.9827,-12388.76,-2106.14,-3741.5,-6734.61
311823.9837,-12526.47,-2248.57,-3866.29,-6856.73
311823.9847,-12660.41,-2385.95,-3990.7,-6977.03
311823.9857,-12779.05,-2507.88,-4099.37,-7077.89
311823.9867,-12869.22,-2612.4,-4178.14,-7156.95
311823.9877,-12924.05,-2689.55,-4227.78,-7211.97
311823.9887,-12943.46,-2714.59,-4249.33,-7232.81
311823.9897,-12937.4,-2706.24,-4245.23,-7230.28
311823.9907,-12907.03,-2671.48,-4214.24,-7199.91
311823.9917,-12833.31,-2586.32,-4149.68,-7124.04
311823.9927,-12724.02,-2462.53,-4050.11,-7017.8
311823.9937,-12581.45,-2310.09,-3917.5,-6886.77
311823.9947,-12429.57,-2156.07,-3778.55,-6752.49
311823.9957,-12317.42,-2026.18,-3678.32,-6645.54
311823.9967,-12234.21,-1925.85,-3602.79,-6565.29
311823.9977,-12164.78,-1849.32,-3538.8,-6499.43
311823.9987,-12143.09,-1825.0,-3516.96,-6481.41
311823.9997,-12153.48,-1837.59,-3524.49,-6496.67
311824.0007,-12195.25,-1879.88,-3558.68,-6539.77
311824.0017,-12277.08,-1968.34,-3633.64,-6615.93
311824.0027,-12388.23,-2098.42,-3734.97,-6720.45
311824.0037,-12521.22,-2243.85,-3860.52,-6846.05
311824.0047,-12650.59,-2382.09,-3982.12,-6969.12
311824.0057,-12757.59,-2505.16,-4082.06,-7075.98
311824.0067,-12855.15,-2612.16,-4170.28,-7167.53
311824.0077,-12932.49,-2693.75,-4235.94,-7236.2
311824.0087,-12958.0,-2722.6,-4254.77,-7256.46
311824.0097,-12950.9,-2719.35,-4248.76,-7246.78
311824.0107,-12916.14,-2691.32,-4218.44,-7210.83
311824.0117,-12848.38,-2615.31,-4158.78,-7144.98
311824.0127,-12745.29,-2494.34,-4066.66,-7047.37
311824.0137,-12609.15,-2343.27,-3941.73,-6921.91
311824.0147,-12467.34,-2191.11,-3811.17,-6791.5
