TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
312415.7617,-64.782,42.151,-1006.134,1653.75,-2625.0,840.0,-182.4,386.08,2012.48
312415.8117,-64.233,41.663,-1006.012,1680.0,-2633.75,778.75,-161.12,390.64,1997.28
312415.8617,-60.634,41.175,-1003.206,1785.0,-2712.5,787.5,-177.84,381.52,2000.32
312415.9117,-61.671,38.247,-1009.855,1732.5,-2782.5,770.0,-170.24,381.52,2003.36
312415.9617,-61.854,40.931,-1004.975,1715.0,-2598.75,805.0,-170.24,366.32,2015.52
312416.0117,-64.538,40.87,-1007.171,1697.5,-2738.75,813.75,-168.72,369.36,2003.36
312416.0617,-63.562,39.711,-1005.951,1688.75,-2695.0,918.75,-159.6,372.4,1991.2
312416.1117,-62.22,40.748,-1005.585,1767.5,-2721.25,717.5,-171.76,380.0,2000.32
312416.1617,-61.488,40.992,-1005.463,1750.0,-2642.5,901.25,-174.8,373.92,2000.32
312416.2117,-63.318,42.578,-1009.916,1767.5,-2633.75,936.25,-168.72,367.84,1992.72
312416.2617,-58.865,43.737,-1006.317,1741.25,-2747.5,883.75,-171.76,380.0,2004.88
312416.3117,-62.647,40.748,-1005.768,1680.0,-2660.0,778.75,-168.72,366.32,1994.24
312416.3617,-61.61,38.918,-1007.232,1785.0,-2633.75,813.75,-164.16,383.04,1998.8
312416.4117,-62.098,42.029,-1008.025,1758.75,-2668.75,910.0,-158.08,373.92,2006.4
312416.4617,-63.257,42.273,-1010.587,1671.25,-2703.75,778.75,-164.16,389.12,2003.36
312416.5117,-61.549,41.236,-1005.829,1767.5,-2572.5,1023.75,-153.52,373.92,1995.76
312416.5617,-66.429,41.358,-1008.33,1776.25,-2502.5,752.5,-167.2,372.4,2007.92
312416.6117,-60.573,39.284,-1007.11,1741.25,-2642.5,910.0,-164.16,367.84,2007.92
312416.6617,-63.074,39.711,-1005.768,1741.25,-2633.75,945.0,-171.76,372.4,1998.8
312416.7117,-62.952,42.151,-1003.206,1758.75,-2712.5,813.75,-158.08,383.04,2007.92
312416.7617,-64.294,40.382,-1008.879,1811.25,-2572.5,822.5,-165.68,373.92,1995.76
312416.8117,-63.074,40.138,-1007.171,1697.5,-2616.25,822.5,-158.08,370.88,1997.28
312416.8617,-62.83,41.236,-1005.89,1750.0,-2546.25,936.25,-155.04,376.96,1994.24
312416.9117,-63.44,41.175,-1004.06,1732.5,-2642.5,796.25,-174.8,380.0,1997.28
312416.9617,-64.843,41.236,-1004.731,1785.0,-2677.5,822.5,-159.6,369.36,1985.12
312417.0117,-60.634,41.297,-1009.062,1811.25,-2721.25,822.5,-162.64,376.96,1992.72
312417.0617,-62.952,38.735,-1005.646,1732.5,-2555.0,1023.75,-170.24,370.88,2021.6
312417.1117,-62.342,42.212,-1005.646,1662.5,-2642.5,883.75,-174.8,378.48,2009.44
312417.1617,-62.586,40.565,-1005.768,1758.75,-2712.5,708.75,-164.16,386.08,2018.56
312417.2117,-63.623,43.554,-1007.598,1793.75,-2651.25,927.5,-164.16,386.08,1995.76
312417.2617,-61.976,42.334,-1006.317,1671.25,-2668.75,883.75,-171.76,392.16,1998.8
312417.3117,-62.22,43.005,-1005.036,1715.0,-2703.75,813.75,-168.72,372.4,2007.92
312417.3617,-63.928,42.273,-1005.402,1671.25,-2703.75,831.25,-171.76,370.88,1988.16
312417.4117,-60.329,40.199,-1006.866,1776.25,-2625.0,848.75,-161.12,375.44,1992.72
312417.4617,-62.22,39.467,-1005.829,1680.0,-2633.75,901.25,-176.32,370.88,2000.32
312417.5117,-61.0,40.016,-1004.792,1732.5,-2616.25,927.5,-176.32,375.44,1994.24
312417.5617,-61.305,40.809,-1006.378,1820.0,-2625.0,840.0,-161.12,369.36,2010.96
312417.6117,-61.183,42.822,-1007.598,1715.0,-2677.5,761.25,-165.68,386.08,2006.4
312417.6617,-61.488,41.907,-1004.243,1758.75,-2598.75,883.75,-179.36,378.48,2007.92
312417.7117,-61.488,39.528,-1006.195,1758.75,-2651.25,892.5,-165.68,373.92,1991.2
312417.7617,-62.281,40.626,-1005.402,1662.5,-2712.5,787.5,-167.2,373.92,2006.4
312417.8117,-63.318,40.565,-1004.548,1706.25,-2607.5,778.75,-167.2,370.88,2001.84
312417.8617,-61.061,39.04,-1005.768,1653.75,-2590.0,971.25,-164.16,378.48,2006.4
312417.9117,-62.891,41.419,-1007.232,1741.25,-2607.5,1032.5,-167.2,370.88,1989.68
312417.9617,-60.756,42.212,-1006.561,1741.25,-2616.25,787.5,-164.16,376.96,1994.24
312418.0117,-63.684,41.358,-1004.548,1750.0,-2756.25,822.5,-174.8,387.6,1997.28
312418.0617,-60.634,40.626,-1004.975,1662.5,-2642.5,831.25,-165.68,383.04,2004.88
312418.1117,-61.244,40.931,-1007.659,1715.0,-2712.5,813.75,-165.68,383.04,2000.32
312418.1617,-63.867,40.504,-1006.317,1732.5,-2686.25,866.25,-162.64,372.4,1998.8
312418.2117,-62.891,41.297,-1009.306,1688.75,-2607.5,892.5,-155.04,381.52,1997.28
312418.2617,-63.135,39.284,-1003.389,1706.25,-2668.75,910.0,-165.68,380.0,1986.64
312418.3117,-61.671,40.809,-1003.572,1697.5,-2668.75,726.25,-170.24,378.48,2003.36
312418.3617,-61.732,40.626,-1006.5,1767.5,-2537.5,813.75,-177.84,383.04,1997.28
312418.4117,-63.501,41.907,-1006.073,1767.5,-2660.0,735.0,-156.56,373.92,1988.16
312418.4617,-64.782,40.199,-1006.988,1653.75,-2642.5,840.0,-159.6,380.0,1991.2
312418.5117,-61.854,41.907,-1005.463,1741.25,-2730.0,778.75,-159.6,373.92,1997.28
312418.5617,-63.684,41.968,-1003.938,1697.5,-2668.75,927.5,-162.64,381.52,2015.52
312418.6117,-65.331,39.284,-1005.28,1741.25,-2651.25,831.25,-167.2,375.44,2003.36
312418.6617,-61.244,39.772,-1004.365,1758.75,-2721.25,796.25,-171.76,376.96,2007.92
312418.7117,-62.83,43.615,-1003.328,1802.5,-2738.75,743.75,-174.8,373.92,2014.0
312418.7617,-63.623,39.223,-1006.073,1776.25,-2695.0,787.5,-158.08,372.4,2007.92
312418.8117,-63.135,39.162,-1004.426,1776.25,-2625.0,752.5,-168.72,378.48,2001.84
312418.8617,-61.427,40.504,-1003.328,1767.5,-2555.0,883.75,-164.16,366.32,2007.92
312418.9117,-63.074,41.663,-1004.792,1767.5,-2660.0,726.25,-168.72,372.4,1998.8
312418.9617,-62.525,43.005,-1007.232,1671.25,-2616.25,805.0,-174.8,373.92,2004.88
312419.0117,-63.562,40.016,-1005.89,1776.25,-2677.5,691.25,-164.16,381.52,2007.92
312419.0617,-61.671,42.334,-1004.487,1785.0,-2642.5,936.25,-159.6,375.44,2004.88
312419.1117,-61.244,41.175,-1008.94,1723.75,-2625.0,918.75,-170.24,369.36,2001.84
