TimeStamp,ECR,FCR,ECU,FCU
312242.9837,-11195.85,-867.94,-2081.3,-5153.42
312242.9847,-11113.26,-800.99,-2000.19,-5068.73
312242.9857,-11087.28,-780.11,-1977.73,-5035.88
312242.9867,-11104.59,-788.88,-1991.89,-5040.88
312242.9877,-11138.25,-820.83,-2022.93,-5066.4
312242.9887,-11207.63,-877.19,-2098.99,-5134.39
312242.9897,-11293.27,-961.88,-2188.68,-5223.47
312242.9907,-11396.55,-1069.59,-2289.15,-5334.38
312242.9917,-11547.09,-1204.92,-2433.01,-5487.11
312242.9927,-11693.1,-1350.59,-2583.12,-5636.31
312242.9937,-11809.68,-1465.13,-2704.57,-5762.1
312242.9947,-11891.27,-1534.03,-2785.4,-5854.23
312242.9957,-11915.64,-1550.72,-2810.91,-5885.32
312242.9967,-11902.43,-1528.93,-2799.8,-5867.43
312242.9977,-11861.61,-1482.77,-2763.13,-5824.09
312242.9987,-11766.44,-1386.02,-2662.52,-5723.19
312242.9997,-11644.41,-1264.19,-2538.4,-5591.25
312243.0007,-11526.4,-1153.52,-2421.43,-5468.23
312243.0017,-11402.32,-1044.13,-2298.78,-5345.58
312243.0027,-11285.83,-939.89,-2182.53,-5233.43
312243.0037,-11183.6,-851.73,-2080.54,-5134.54
312243.0047,-11087.37,-780.39,-1983.98,-5043.32
312243.0057,-11041.64,-753.83,-1939.87,-5001.07
312243.0067,-11046.32,-763.37,-1942.21,-5003.74
312243.0077,-11082.32,-799.47,-1976.35,-5035.5
312243.0087,-11171.25,-883.87,-2063.32,-5120.56
312243.0097,-11291.46,-988.96,-2177.05,-5237.58
312243.0107,-11412.67,-1101.68,-2297.59,-5362.85
312243.0117,-11553.48,-1228.0,-2442.5,-5506.71
312243.0127,-11689.86,-1352.02,-2580.74,-5645.8
312243.0137,-11802.1,-1451.78,-2687.41,-5757.38
312243.0147,-11891.8,-1527.02,-2770.04,-5842.83
312243.0157,-11926.99,-1553.3,-2805.85,-5879.45
312243.0167,-11924.55,-1540.95,-2805.57,-5873.63
312243.0177,-11901.09,-1511.1,-2790.98,-5844.12
312243.0187,-11831.86,-1444.05,-2726.75,-5771.88
312243.0197,-11711.79,-1335.19,-2600.86,-5649.42
312243.0207,-11561.2,-1197.15,-2445.94,-5493.69
312243.0217,-11404.71,-1057.34,-2295.69,-5340.67
312243.0227,-11276.06,-944.57,-2175.05,-5215.98
312243.0237,-11176.4,-854.35,-2075.24,-5112.65
312243.0247,-11090.14,-770.86,-1991.03,-5029.58
312243.0257,-11048.22,-734.42,-1950.93,-4989.48
312243.0267,-11054.09,-750.02,-1956.42,-4991.63
312243.0277,-11100.25,-796.37,-2001.14,-5033.88
312243.0287,-11192.85,-882.91,-2089.07,-5122.71
312243.0297,-11312.68,-993.06,-2200.46,-5246.69
312243.0307,-11442.23,-1110.22,-2311.56,-5384.02
312243.0317,-11572.17,-1227.81,-2431.92,-5520.77
312243.0327,-11692.14,-1338.43,-2562.95,-5648.04
312243.0337,-11799.53,-1440.48,-2679.3,-5764.1
312243.0347,-11889.98,-1518.96,-2773.48,-5855.99
312243.0357,-11934.19,-1555.87,-2821.21,-5898.52
312243.0367,-11934.57,-1549.63,-2820.68,-5890.23
312243.0377,-11904.38,-1511.48,-2789.55,-5853.03
312243.0387,-11819.55,-1437.14,-2706.77,-5768.2
312243.0397,-11702.11,-1340.53,-2593.28,-5649.66
312243.0407,-11572.93,-1229.72,-2465.01,-5514.05
312243.0417,-11435.61,-1105.45,-2324.06,-5370.57
312243.0427,-11302.42,-978.14,-2191.4,-5239.68
312243.0437,-11188.13,-875.62,-2082.59,-5129.1
312243.0447,-11093.05,-792.65,-1987.93,-5034.64
312243.0457,-11048.99,-753.5,-1938.44,-4991.06
312243.0467,-11052.9,-757.22,-1942.01,-4996.01
312243.0477,-11083.27,-783.3,-1973.39,-5030.97
312243.0487,-11154.32,-842.33,-2044.68,-5107.12
312243.0497,-11264.47,-943.99,-2154.88,-5222.08
312243.0507,-11404.56,-1074.84,-2289.87,-5361.75
312243.0517,-11556.82,-1216.6,-2437.02,-5512.1
312243.0527,-11694.86,-1339.86,-2572.68,-5649.9
312243.0537,-11809.35,-1445.25,-2689.17,-5767.06
312243.0547,-11904.19,-1529.46,-2780.25,-5856.66
312243.0557,-11945.73,-1562.45,-2820.49,-5894.76
312243.0567,-11940.19,-1554.3,-2824.35,-5887.99
312243.0577,-11911.35,-1519.58,-2797.56,-5852.75
312243.0587,-11830.86,-1440.81,-2720.07,-5769.97
312243.0597,-11707.4,-1328.56,-2597.48,-5645.37
312243.0607,-11561.25,-1193.57,-2448.51,-5495.07
312243.0617,-11416.72,-1062.68,-2307.8,-5348.54
312243.0627,-11290.03,-948.67,-2189.35,-5227.9
312243.0637,-11175.11,-846.2,-2082.16,-5120.8
312243.0647,-11072.92,-760.51,-1977.01,-5023.05
312243.0657,-11025.48,-726.89,-1927.66,-4983.14
312243.0667,-11029.24,-738.0,-1925.71,-4991.44
312243.0677,-11072.4,-783.3,-1962.95,-5035.31
312243.0687,-11162.71,-866.7,-2046.68,-5120.47
312243.0697,-11282.45,-978.57,-2163.65,-5237.2
312243.0707,-11424.07,-1106.21,-2300.45,-5374.48
312243.0717,-11574.13,-1242.73,-2454.42,-5528.26
312243.0727,-11715.32,-1371.34,-2592.95,-5668.35
312243.0737,-11828.57,-1475.57,-2706.0,-5783.42
312243.0747,-11923.36,-1557.35,-2796.51,-5876.83
312243.0757,-11971.28,-1589.25,-2836.37,-5917.41
312243.0767,-11952.02,-1568.99,-2821.97,-5900.91
312243.0777,-11902.52,-1525.93,-2784.44,-5860.33
312243.0787,-11813.26,-1437.71,-2708.39,-5774.5
312243.0797,-11683.8,-1316.6,-2592.8,-5643.42
312243.0807,-11538.17,-1183.08,-2451.66,-5492.64
312243.0817,-11385.59,-1042.89,-2296.88,-5336.38
312243.0827,-11250.83,-920.3,-2159.41,-5199.72
312243.0837,-11135.77,-819.83,-2039.05,-5085.66
312243.0847,-11050.65,-745.87,-1954.56,-5001.64
312243.0857,-11033.63,-726.46,-1933.29,-4982.9
312243.0867,-11048.99,-744.44,-1938.92,-4999.73
312243.0877,-11086.99,-788.5,-1971.58,-5039.64
312243.0887,-11178.3,-875.76,-2064.18,-5126.14
312243.0897,-11299.71,-988.1,-2183.87,-5242.01
312243.0907,-11429.84,-1104.83,-2307.61,-5369.09
312243.0917,-11567.55,-1225.9,-2442.98,-5510.62
312243.0927,-11698.2,-1338.39,-2579.5,-5644.23
312243.0937,-11814.55,-1443.77,-2696.09,-5763.58
312243.0947,-11909.82,-1529.74,-2789.74,-5859.76
312243.0957,-11950.3,-1561.59,-2825.74,-5895.42
312243.0967,-11939.19,-1546.57,-2819.11,-5883.5
312243.0977,-11899.28,-1508.43,-2782.3,-5848.31
312243.0987,-11814.12,-1426.27,-2700.47,-5760.58
312243.0997,-11693.81,-1312.21,-2583.98,-5636.31
312243.1007,-11558.77,-1190.52,-2451.75,-5501.56
312243.1017,-11418.2,-1064.83,-2315.14,-5359.7
312243.1027,-11289.93,-943.28,-2188.16,-5227.76
312243.1037,-11172.92,-842.67,-2064.9,-5106.93
312243.1047,-11072.3,-759.98,-1967.62,-5011.03
312243.1057,-11033.73,-734.04,-1931.81,-4980.52
312243.1067,-11038.45,-752.45,-1934.34,-4992.29
312243.1077,-11077.12,-791.26,-1970.24,-5038.12
312243.1087,-11161.61,-866.37,-2052.21,-5132.06
312243.1097,-11278.44,-981.81,-2165.27,-5252.41
312243.1107,-11418.68,-1114.7,-2301.98,-5384.78
312243.1117,-11570.41,-1247.64,-2451.61,-5530.07
312243.1127,-11704.26,-1363.33,-2584.27,-5656.96
312243.1137,-11822.46,-1456.12,-2701.95,-5765.68
312243.1147,-11913.11,-1531.32,-2793.79,-5848.5
312243.1157,-11949.16,-1560.4,-2829.5,-5878.88
312243.1167,-11933.57,-1539.66,-2817.58,-5857.47
312243.1177,-11888.65,-1495.41,-2779.87,-5817.03
312243.1187,-11805.15,-1415.35,-2701.14,-5740.5
312243.1197,-11687.04,-1309.97,-2588.56,-5630.16
312243.1207,-11551.72,-1188.8,-2454.42,-5498.89
