TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
313372.8117,-66.612,-15.677,-1006.561,1715.0,-2791.25,778.75,-1348.24,-896.8,1330.0
313372.8617,-68.442,-16.226,-1004.914,1750.0,-2572.5,857.5,-1339.12,-883.12,1330.0
313372.9117,-68.198,-14.396,-1006.622,1671.25,-2721.25,848.75,-1331.52,-889.2,1337.6
313372.9617,-68.076,-16.531,-1004.792,1697.5,-2756.25,848.75,-1333.04,-889.2,1334.56
313373.0117,-67.1,-13.42,-1006.317,1758.75,-2712.5,831.25,-1339.12,-878.56,1334.56
313373.0617,-67.1,-14.518,-1006.256,1732.5,-2695.0,866.25,-1333.04,-899.84,1331.52
313373.1117,-68.93,-14.152,-1007.598,1715.0,-2651.25,717.5,-1339.12,-870.96,1337.6
313373.1617,-67.588,-11.773,-1004.609,1802.5,-2756.25,778.75,-1340.64,-884.64,1326.96
313373.2117,-67.588,-15.921,-1004.365,1680.0,-2642.5,813.75,-1333.04,-890.72,1342.16
313373.2617,-69.784,-15.494,-1005.341,1750.0,-2633.75,840.0,-1336.08,-890.72,1331.52
313373.3117,-67.893,-13.542,-1005.158,1671.25,-2642.5,840.0,-1343.68,-896.8,1346.72
313373.3617,-69.235,-14.396,-1004.121,1732.5,-2563.75,770.0,-1342.16,-880.08,1345.2
313373.4117,-69.235,-15.067,-1005.341,1785.0,-2651.25,857.5,-1325.44,-887.68,1325.44
313373.4617,-68.991,-15.189,-1006.317,1662.5,-2572.5,831.25,-1343.68,-892.24,1336.08
313373.5117,-69.601,-15.067,-1003.938,1715.0,-2625.0,910.0,-1345.2,-886.16,1343.68
313373.5617,-68.32,-15.799,-1004.548,1680.0,-2616.25,997.5,-1343.68,-889.2,1342.16
313373.6117,-66.795,-17.324,-1010.831,1758.75,-2485.0,805.0,-1333.04,-878.56,1333.04
313373.6617,-67.283,-15.86,-1000.644,1478.75,-2546.25,901.25,-1334.56,-886.16,1333.04
313373.7117,-68.625,-13.969,-1009.489,2275.0,-2861.25,927.5,-1337.6,-890.72,1343.68
313373.7617,-69.174,-14.457,-1004.06,1662.5,-2572.5,752.5,-1352.8,-874.0,1334.56
313373.8117,-67.893,-14.762,-1009.489,1540.0,-2590.0,892.5,-1331.52,-875.52,1342.16
313373.8617,-70.699,-14.579,-1004.853,1610.0,-2590.0,875.0,-1340.64,-892.24,1351.28
313373.9117,-67.283,-12.139,-1005.219,1575.0,-2590.0,883.75,-1352.8,-886.16,1337.6
313373.9617,-66.856,-13.725,-1008.94,1828.75,-2581.25,883.75,-1348.24,-884.64,1351.28
313374.0117,-66.368,-14.396,-1002.535,1653.75,-2721.25,743.75,-1346.72,-890.72,1342.16
313374.0617,-71.248,-14.335,-1014.186,1951.25,-2817.5,866.25,-1328.48,-889.2,1330.0
313374.1117,-67.527,-15.25,-1005.829,1671.25,-2677.5,980.0,-1336.08,-881.6,1340.64
313374.1617,-68.137,-14.823,-1004.914,1662.5,-2747.5,735.0,-1334.56,-889.2,1330.0
313374.2117,-68.076,-15.616,-1005.097,1785.0,-2660.0,857.5,-1339.12,-884.64,1334.56
313374.2617,-67.893,-13.237,-1006.073,1758.75,-2590.0,1006.25,-1325.44,-874.0,1326.96
313374.3117,-67.1,-13.298,-1005.402,1723.75,-2782.5,866.25,-1352.8,-892.24,1346.72
313374.3617,-68.564,-12.078,-1007.354,1671.25,-2616.25,936.25,-1334.56,-877.04,1352.8
313374.4117,-67.161,-15.372,-1007.72,1741.25,-2686.25,875.0,-1346.72,-883.12,1330.0
313374.4617,-66.917,-14.274,-1006.195,1863.75,-2712.5,805.0,-1340.64,-884.64,1346.72
313374.5117,-67.161,-13.115,-1004.67,1680.0,-2616.25,822.5,-1342.16,-881.6,1342.16
313374.5617,-68.442,-16.226,-1007.842,1750.0,-2677.5,875.0,-1337.6,-890.72,1345.2
313374.6117,-66.246,-13.725,-1008.33,1750.0,-2537.5,796.25,-1337.6,-890.72,1325.44
313374.6617,-66.734,-13.847,-1005.951,1697.5,-2695.0,805.0,-1336.08,-892.24,1316.32
313374.7117,-69.113,-14.213,-1006.439,1846.25,-2642.5,822.5,-1343.68,-884.64,1334.56
313374.7617,-68.381,-13.847,-1009.123,1653.75,-2572.5,918.75,-1342.16,-878.56,1334.56
313374.8117,-69.906,-13.908,-1004.304,1627.5,-2677.5,761.25,-1339.12,-878.56,1331.52
313374.8617,-67.527,-15.86,-1007.659,1750.0,-2703.75,726.25,-1340.64,-877.04,1330.0
313374.9117,-67.344,-13.603,-1006.866,1767.5,-2651.25,743.75,-1342.16,-890.72,1345.2
313374.9617,-68.076,-15.067,-1006.439,1767.5,-2695.0,752.5,-1343.68,-895.28,1340.64
313375.0117,-68.32,-12.932,-1004.853,1688.75,-2677.5,866.25,-1328.48,-886.16,1345.2
313375.0617,-68.503,-15.799,-1006.378,1767.5,-2616.25,945.0,-1336.08,-880.08,1322.4
313375.1117,-66.795,-13.725,-1004.731,1645.0,-2616.25,892.5,-1331.52,-883.12,1325.44
313375.1617,-67.832,-15.494,-1006.561,1697.5,-2590.0,848.75,-1349.76,-896.8,1345.2
313375.2117,-69.113,-14.396,-1009.001,1785.0,-2721.25,743.75,-1342.16,-878.56,1349.76
313375.2617,-66.795,-14.274,-1004.304,1723.75,-2563.75,875.0,-1342.16,-884.64,1352.8
313375.3117,-66.917,-14.457,-1007.049,1680.0,-2651.25,656.25,-1333.04,-889.2,1334.56
313375.3617,-67.832,-15.311,-1008.269,1732.5,-2695.0,805.0,-1352.8,-889.2,1339.12
313375.4117,-69.357,-14.091,-1007.72,1732.5,-2695.0,857.5,-1349.76,-887.68,1345.2
313375.4617,-70.15,-14.335,-1005.585,1688.75,-2677.5,822.5,-1355.84,-892.24,1328.48
313375.5117,-67.588,-15.616,-1004.975,1653.75,-2616.25,857.5,-1331.52,-883.12,1358.88
313375.5617,-67.771,-14.457,-1008.025,1653.75,-2616.25,857.5,-1336.08,-895.28,1343.68
313375.6117,-68.747,-13.786,-1005.646,1767.5,-2598.75,822.5,-1339.12,-889.2,1325.44
313375.6617,-69.052,-15.616,-1004.548,1732.5,-2633.75,875.0,-1337.6,-893.76,1334.56
313375.7117,-66.612,-14.518,-1002.535,1688.75,-2695.0,761.25,-1340.64,-880.08,1317.84
313375.7617,-67.466,-12.444,-1006.134,1697.5,-2660.0,796.25,-1323.92,-893.76,1336.08
313375.8117,-67.588,-12.993,-1006.317,1741.25,-2695.0,743.75,-1337.6,-887.68,1333.04
313375.8617,-67.161,-13.298,-1008.33,1855.0,-2721.25,866.25,-1336.08,-877.04,1339.12
313375.9117,-67.954,-14.64,-1005.768,1653.75,-2703.75,857.5,-1336.08,-887.68,1342.16
313375.9617,-65.392,-14.579,-1006.744,1793.75,-2695.0,822.5,-1343.68,-883.12,1323.92
313376.0117,-67.954,-14.762,-1005.951,1758.75,-2660.0,735.0,-1340.64,-880.08,1339.12
313376.0617,-70.089,-13.359,-1006.256,1671.25,-2730.0,883.75,-1337.6,-881.6,1336.08
313376.1117,-69.479,-14.091,-1005.951,1732.5,-2730.0,848.75,-1326.96,-887.68,1336.08
313376.1617,-67.039,-14.213,-1005.158,1715.0,-2686.25,787.5,-1328.48,-886.16,1336.08
313376.2117,-68.259,-14.579,-1005.951,1706.25,-2633.75,883.75,-1342.16,-886.16,1340.64
313376.2617,-69.174,-14.579,-1003.999,1706.25,-2677.5,831.25,-1340.64,-890.72,1343.68
313376.3117,-68.442,-14.213,-1008.33,1802.5,-2537.5,910.0,-1334.56,-878.56,1330.0
313376.3617,-68.137,-13.603,-1006.378,1653.75,-2572.5,971.25,-1340.64,-877.04,1328.48
313376.4117,-66.978,-13.786,-1004.548,1671.25,-2625.0,936.25,-1336.08,-886.16,1346.72
313376.4617,-68.198,-14.091,-1006.134,1671.25,-2642.5,787.5,-1340.64,-872.48,1326.96
313376.5117,-68.076,-15.738,-1007.415,1723.75,-2703.75,910.0,-1339.12,-889.2,1331.52
313376.5617,-68.686,-14.03,-1004.121,1802.5,-2712.5,752.5,-1339.12,-887.68,1346.72
313376.6117,-67.954,-14.091,-1003.45,1680.0,-2563.75,770.0,-1333.04,-881.6,1328.48
313376.6617,-65.941,-12.505,-1004.243,1671.25,-2642.5,910.0,-1337.6,-889.2,1330.0
313376.7117,-68.32,-14.64,-1003.938,1758.75,-2695.0,883.75,-1342.16,-878.56,1331.52
313376.7617,-69.113,-14.701,-1008.696,1767.5,-2738.75,805.0,-1343.68,-886.16,1328.48
313376.8117,-66.429,-13.054,-1007.842,1811.25,-2677.5,883.75,-1333.04,-877.04,1342.16
313376.8617,-70.577,-15.677,-1006.378,1741.25,-2625.0,857.5,-1348.24,-884.64,1348.24
313376.9117,-69.601,-14.213,-1006.439,1706.25,-2633.75,945.0,-1340.64,-874.0,1346.72
313376.9617,-67.649,-14.03,-1010.648,1671.25,-2721.25,901.25,-1342.16,-895.28,1330.0
313377.0117,-64.843,-16.47,-1004.975,1653.75,-2616.25,840.0,-1340.64,-884.64,1337.6
313377.0617,-67.893,-12.81,-1004.426,1793.75,-2686.25,796.25,-1343.68,-884.64,1342.16
313377.1117,-68.259,-15.189,-1004.731,1741.25,-2625.0,892.5,-1328.48,-886.16,1331.52
313377.1617,-67.649,-14.823,-1003.633,1776.25,-2738.75,813.75,-1345.2,-883.12,1342.16
313377.2117,-68.808,-15.433,-1005.89,1636.25,-2651.25,778.75,-1334.56,-880.08,1358.88
313377.2617,-68.808,-16.653,-1009.001,1723.75,-2660.0,735.0,-1348.24,-887.68,1323.92
313377.3117,-66.368,-14.152,-1003.816,1741.25,-2695.0,708.75,-1336.08,-878.56,1342.16
313377.3617,-68.076,-13.908,-1004.731,1741.25,-2660.0,927.5,-1346.72,-896.8,1351.28
313377.4117,-68.259,-15.372,-1004.548,1750.0,-2642.5,761.25,-1342.16,-886.16,1345.2
313377.4617,-68.015,-14.335,-1010.099,1767.5,-2598.75,778.75,-1342.16,-892.24,1348.24
313377.5117,-69.54,-16.47,-1007.171,1697.5,-2633.75,822.5,-1339.12,-877.04,1333.04
313377.5617,-67.771,-13.725,-1005.341,1715.0,-2537.5,840.0,-1337.6,-889.2,1348.24
313377.6117,-68.198,-13.908,-1006.439,1671.25,-2590.0,813.75,-1331.52,-877.04,1349.76
313377.6617,-69.174,-16.104,-1006.988,1715.0,-2695.0,901.25,-1351.28,-884.64,1328.48
313377.7117,-69.54,-14.274,-1007.171,1697.5,-2633.75,796.25,-1343.68,-877.04,1337.6
313377.7617,-68.564,-12.993,-1004.304,1758.75,-2651.25,805.0,-1351.28,-881.6,1342.16
313377.8117,-67.771,-17.69,-1004.182,1741.25,-2712.5,822.5,-1336.08,-874.0,1343.68
313377.8617,-66.856,-14.762,-1006.561,1811.25,-2625.0,840.0,-1333.04,-883.12,1337.6
313377.9117,-68.32,-15.616,-1006.012,1741.25,-2668.75,936.25,-1342.16,-892.24,1345.2
313377.9617,-67.588,-13.176,-1005.646,1583.75,-2677.5,813.75,-1337.6,-884.64,1337.6
313378.0117,-69.601,-13.359,-1007.354,1697.5,-2642.5,875.0,-1336.08,-887.68,1336.08
313378.0617,-66.185,-13.603,-1005.951,1776.25,-2616.25,883.75,-1337.6,-880.08,1346.72
313378.1117,-66.978,-13.42,-1007.964,1767.5,-2756.25,796.25,-1345.2,-875.52,1334.56
313378.1617,-65.697,-14.579,-1006.744,1697.5,-2616.25,883.75,-1336.08,-881.6,1331.52
313378.2117,-68.442,-13.969,-1005.402,1680.0,-2616.25,805.0,-1345.2,-884.64,1336.08
313378.2617,-70.089,-16.165,-1006.073,1776.25,-2625.0,918.75,-1339.12,-892.24,1323.92
313378.3117,-66.124,-10.553,-1005.463,1776.25,-2747.5,787.5,-1337.6,-870.96,1331.52
313378.3617,-66.551,-15.189,-1004.121,1785.0,-2633.75,770.0,-1333.04,-887.68,1346.72
313378.4117,-69.418,-16.409,-1006.378,1715.0,-2677.5,901.25,-1326.96,-884.64,1348.24
313378.4617,-70.028,-15.372,-1005.402,1741.25,-2555.0,971.25,-1330.0,-881.6,1355.84
313378.5117,-68.991,-14.579,-1007.781,1776.25,-2625.0,997.5,-1357.36,-886.16,1352.8
313378.5617,-67.283,-15.799,-1007.476,1645.0,-2625.0,761.25,-1349.76,-887.68,1331.52
313378.6117,-67.039,-14.03,-1005.036,1688.75,-2642.5,805.0,-1351.28,-889.2,1349.76
313378.6617,-68.808,-15.677,-1007.232,1671.25,-2581.25,848.75,-1336.08,-890.72,1337.6
313378.7117,-67.71,-14.335,-1003.999,1688.75,-2633.75,901.25,-1340.64,-889.2,1345.2
313378.7617,-67.283,-16.592,-1005.28,1741.25,-2616.25,805.0,-1342.16,-881.6,1330.0
313378.8117,-69.723,-12.322,-1003.267,1697.5,-2633.75,743.75,-1351.28,-872.48,1328.48
313378.8617,-66.002,-15.982,-1002.291,1758.75,-2616.25,840.0,-1340.64,-880.08,1336.08
313378.9117,-67.283,-14.396,-1008.208,1662.5,-2607.5,813.75,-1345.2,-895.28,1323.92
313378.9617,-68.32,-15.86,-1005.829,1680.0,-2598.75,901.25,-1328.48,-881.6,1331.52
313379.0117,-67.466,-15.86,-1004.548,1618.75,-2572.5,805.0,-1345.2,-896.8,1331.52
313379.0617,-66.795,-14.213,-1004.609,1688.75,-2590.0,761.25,-1337.6,-883.12,1337.6
313379.1117,-67.222,-14.823,-1008.94,1811.25,-2686.25,997.5,-1337.6,-883.12,1354.32
313379.1617,-68.015,-15.128,-1007.903,1767.5,-2651.25,752.5,-1336.08,-889.2,1352.8
313379.2117,-66.734,-14.823,-1006.012,1688.75,-2721.25,901.25,-1326.96,-889.2,1346.72
313379.2617,-68.869,-15.311,-1004.792,1697.5,-2773.75,848.75,-1326.96,-881.6,1349.76
313379.3117,-66.612,-13.359,-1005.768,1671.25,-2703.75,691.25,-1342.16,-889.2,1330.0
313379.3617,-67.71,-14.518,-1005.341,1723.75,-2651.25,857.5,-1345.2,-883.12,1330.0
313379.4117,-69.418,-13.847,-1005.219,1811.25,-2686.25,691.25,-1337.6,-896.8,1342.16
313379.4617,-66.917,-13.115,-1006.927,1723.75,-2607.5,813.75,-1333.04,-893.76,1348.24
313379.5117,-68.808,-16.043,-1009.062,1741.25,-2703.75,910.0,-1345.2,-881.6,1339.12
313379.5617,-67.039,-16.47,-1005.951,1671.25,-2712.5,787.5,-1349.76,-884.64,1334.56
313379.6117,-67.649,-14.274,-1006.073,1732.5,-2686.25,805.0,-1346.72,-895.28,1342.16
313379.6617,-70.76,-15.128,-1006.256,1741.25,-2660.0,805.0,-1346.72,-884.64,1322.4
313379.7117,-68.869,-14.823,-1005.89,1653.75,-2572.5,752.5,-1337.6,-893.76,1346.72
313379.7617,-69.723,-14.762,-1008.574,1732.5,-2581.25,787.5,-1348.24,-892.24,1337.6
313379.8117,-68.503,-15.433,-1004.182,1723.75,-2668.75,822.5,-1326.96,-869.44,1328.48
313379.8617,-69.479,-14.152,-1003.267,1645.0,-2721.25,805.0,-1333.04,-889.2,1352.8
313379.9117,-67.954,-16.043,-1007.72,1548.75,-2555.0,971.25,-1340.64,-877.04,1328.48
