TimeStamp,ECR,FCR,ECU,FCU
312415.8277,-11765.62,-1300.86,-2556.85,-5123.71
312415.8287,-11794.95,-1317.12,-2578.07,-5142.88
312415.8297,-11783.79,-1298.95,-2568.87,-5127.72
312415.8307,-11703.4,-1217.65,-2495.1,-5048.9
312415.8317,-11580.37,-1098.11,-2386.76,-4934.98
312415.8327,-11435.61,-953.39,-2244.33,-4805.76
312415.8337,-11272.53,-792.93,-2064.32,-4658.89
312415.8347,-11122.94,-648.69,-1894.28,-4519.03
312415.8357,-10976.6,-520.23,-1749.28,-4391.1
312415.8367,-10852.86,-417.09,-1659.06,-4288.24
312415.8377,-10788.54,-369.98,-1642.8,-4240.47
312415.8387,-10759.59,-357.34,-1624.06,-4224.97
312415.8397,-10780.1,-387.53,-1613.95,-4249.72
312415.8407,-10873.27,-486.23,-1695.01,-4343.51
312415.8417,-11015.8,-627.57,-1837.3,-4478.17
312415.8427,-11158.8,-765.13,-1942.68,-4602.0
312415.8437,-11301.71,-900.03,-2050.83,-4719.11
312415.8447,-11448.1,-1031.11,-2204.28,-4840.09
312415.8457,-11581.42,-1148.37,-2352.0,-4952.62
312415.8467,-11699.2,-1261.19,-2481.56,-5056.52
312415.8477,-11767.58,-1323.41,-2565.67,-5117.94
312415.8487,-11776.97,-1333.05,-2590.99,-5137.63
312415.8497,-11765.29,-1313.78,-2579.59,-5130.77
312415.8507,-11693.43,-1232.29,-2493.91,-5052.61
312415.8517,-11545.23,-1096.44,-2331.83,-4924.97
312415.8527,-11371.42,-941.85,-2175.28,-4782.01
312415.8537,-11200.62,-772.0,-2025.18,-4625.42
312415.8547,-11063.2,-624.8,-1895.38,-4493.28
312415.8557,-10925.49,-486.95,-1748.42,-4370.07
312415.8567,-10791.97,-365.26,-1619.34,-4257.06
312415.8577,-10729.5,-305.51,-1561.78,-4198.17
312415.8587,-10740.38,-311.33,-1566.46,-4200.17
312415.8597,-10787.35,-353.05,-1605.46,-4237.94
312415.8607,-10890.87,-455.19,-1702.5,-4328.35
312415.8617,-11019.9,-589.37,-1822.76,-4447.17
312415.8627,-11171.49,-740.24,-1967.14,-4587.56
312415.8637,-11325.22,-900.65,-2128.65,-4738.9
312415.8647,-11459.88,-1044.51,-2267.31,-4870.56
312415.8657,-11580.18,-1171.21,-2394.53,-4985.95
312415.8667,-11680.37,-1271.53,-2506.54,-5078.65
312415.8677,-11710.6,-1303.48,-2543.64,-5108.79
312415.8687,-11695.0,-1286.79,-2523.04,-5090.0
312415.8697,-11686.47,-1266.29,-2510.5,-5075.65
312415.8707,-11646.75,-1206.68,-2463.2,-5033.73
312415.8717,-11545.75,-1099.68,-2370.79,-4935.93
312415.8727,-11403.61,-958.25,-2231.6,-4802.9
312415.8737,-11237.91,-790.21,-2042.39,-4648.26
312415.8747,-11080.17,-634.29,-1887.61,-4498.01
312415.8757,-10950.09,-509.36,-1769.92,-4378.84
312415.8767,-10855.15,-422.62,-1660.68,-4291.63
312415.8777,-10794.78,-374.03,-1597.83,-4246.66
312415.8787,-10772.99,-357.82,-1592.35,-4231.41
312415.8797,-10794.59,-383.52,-1617.86,-4249.76
312415.8807,-10884.14,-473.69,-1702.02,-4331.83
312415.8817,-11024.43,-611.54,-1832.01,-4461.0
312415.8827,-11187.13,-770.43,-1982.02,-4613.35
312415.8837,-11344.91,-926.11,-2138.42,-4762.22
312415.8847,-11498.79,-1071.79,-2286.53,-4894.54
312415.8857,-11632.92,-1202.15,-2406.88,-5008.17
312415.8867,-11739.78,-1309.82,-2524.71,-5113.7
312415.8877,-11786.8,-1350.26,-2591.56,-5157.19
312415.8887,-11793.52,-1345.4,-2622.56,-5151.22
312415.8897,-11757.28,-1303.15,-2576.07,-5111.31
312415.8907,-11668.68,-1206.59,-2455.9,-5021.19
312415.8917,-11549.9,-1086.19,-2327.73,-4909.95
312415.8927,-11410.05,-947.71,-2204.37,-4789.45
312415.8937,-11249.97,-799.23,-2066.04,-4651.55
312415.8947,-11069.01,-639.87,-1906.01,-4498.72
312415.8957,-10897.16,-484.99,-1750.99,-4350.23
312415.8967,-10774.18,-372.89,-1637.17,-4245.42
312415.8977,-10730.94,-337.12,-1598.55,-4211.66
312415.8987,-10732.8,-342.89,-1583.77,-4213.72
312415.8997,-10769.32,-381.66,-1605.42,-4248.91
312415.9007,-10841.8,-464.87,-1677.37,-4315.9
312415.9017,-10963.63,-589.7,-1806.93,-4431.87
312415.9027,-11123.37,-734.76,-1954.65,-4574.11
312415.9037,-11298.09,-897.84,-2107.91,-4731.37
312415.9047,-11464.98,-1055.77,-2254.87,-4877.95
312415.9057,-11613.51,-1196.38,-2393.39,-5007.08
312415.9067,-11730.58,-1304.72,-2513.22,-5109.17
312415.9077,-11796.33,-1359.37,-2586.32,-5164.48
312415.9087,-11819.32,-1376.49,-2600.72,-5180.26
312415.9097,-11803.96,-1353.07,-2568.58,-5158.38
312415.9107,-11718.47,-1260.33,-2468.63,-5071.12
312415.9117,-11569.22,-1111.08,-2316.57,-4928.3
312415.9127,-11369.9,-920.77,-2144.29,-4745.29
312415.9137,-11214.5,-760.79,-2041.2,-4603.72
312415.9147,-11097.91,-646.16,-1950.12,-4506.4
312415.9157,-10961.92,-517.94,-1826.38,-4388.33
312415.9167,-10842.52,-401.83,-1699.45,-4279.71
312415.9177,-10794.64,-357.82,-1633.74,-4242.99
312415.9187,-10804.85,-372.41,-1630.12,-4259.49
312415.9197,-10812.86,-394.3,-1621.44,-4279.42
