TimeStamp,ECR,FCR,ECU,FCU,time_index
312451.7197,45.96014254052969,44.79866749676098,37.47005727242642,31.01261431552038,36.0
312451.7207,43.36263829985496,43.83702005623411,38.896779518588765,32.583161648096265,36.00099999998929
312451.7217,39.972222537819576,42.27452083909991,39.90249366528122,33.72756014082884,36.00199999997858
312451.7227,35.859120540641136,40.12910944557653,40.50780373240965,34.425039659946,36.00299999996787
312451.7237,31.114595171828036,37.43525077826806,40.73638757492061,34.66599672556434,36.00399999995716
312451.7247,25.850033750637447,34.24482060822001,40.615188298507476,34.45377181021938,36.00500000000466
312451.7257,20.1944636205072,30.626553643597283,40.17412768626241,33.805170790909976,36.005999999993946
312451.7267,14.290550063008384,26.664051912099637,39.44529953760125,32.74969907303448,36.006999999983236
312451.7277,8.289290856626105,22.452503399951897,38.461683285005364,31.32762297212336,36.007999999972526
312451.7287,2.343763841842443,18.09439606334336,37.25549721614427,29.587103801314374,36.008999999961816
312451.7297,-3.3976076831006754,13.694616398446998,35.85637607133429,27.580751600055248,36.01000000000931
312451.7307,-8.797743751286292,9.355383817799542,34.289600897468944,25.36200648727655,36.0109999999986
312451.7317,-13.73701202340976,5.171485593548944,32.57462332846451,22.98176944283637,36.01199999998789
312451.7327,-18.118252511297914,1.226240628156656,30.724108675116796,20.48566917118226,36.01299999997718
312451.7337,-21.870321739221254,-2.411462372225691,28.74367290852892,17.91227115073495,36.01399999996647
312451.7347,-24.949890805277136,-5.688826821006378,26.632412335924553,15.29241762780004,36.01499999995576
312451.7357,-27.341395006390293,-8.569429315384593,24.384229636007007,12.64974600028828,36.01600000000326
312451.7367,-29.055206901920464,-11.032192164927725,21.98985688228445,10.002283503986602,36.01699999999255
312451.7377,-30.12427176782015,-13.069264805940895,19.439377769644956,7.364875386121916,36.01799999998184
312451.7387,-30.599586700274482,-14.683152154648184,16.724970141976303,4.752088287385724,36.01899999997113
312451.7397,-30.545006937082576,-15.883510242478158,13.843537373109676,2.1811544250758814,36.01999999996042
312451.7407,-30.031914127435954,-16.684063519135655,10.79888164465008,-0.32550455150667185,36.021000000007916
312451.7417,-29.134275478461912,-17.100079221328592,7.603098216059294,-2.738607611938124,36.021999999997206
312451.7427,-27.924560145356395,-17.146763148604883,4.276937274869092,-5.0215510649949335,36.022999999986496
312451.7437,-26.470866189058615,-16.838824775248117,0.8489839365187367,-7.131377547672458,36.023999999975786
312451.7447,-24.835459649869147,-16.19130970802337,-2.6463619970720655,-9.02124159446041,36.024999999965075
312451.7457,-23.07475280757196,-15.221629885980548,-6.1719798662070335,-10.644257037840651,36.02600000001257
312451.7467,-21.240570182712098,-13.952554773824792,-9.69192526618557,-11.958433494245433,36.02700000000186
312451.7477,-19.382387647826107,-12.41577875971542,-13.17573407989463,-12.932251653441323,36.02799999999115
312451.7487,-17.550100225878484,-10.655568189543022,-16.602643896279854,-13.550307959359673,36.02899999998044
312451.7497,-15.796792638518903,-8.73192981656097,-19.96519577803797,-13.818393154962301,36.02999999996973
312451.7507,-14.180963570652136,-6.722739989018589,-23.271686317838633,-13.767365761757873,36.03099999995902
312451.7517,-12.767694250163366,-4.724333886713507,-26.54700512748528,-13.455244565647517,36.03200000000652
312451.7527,-11.628352257812386,-2.850173509056394,-29.83151437533515,-12.967070741966154,36.03299999999581
312451.7537,-10.83857417011176,-1.2273827260464842,-33.17779690825167,-12.412271100083696,36.0339999999851
312451.7547,-10.474461801589458,0.008857065348215306,-36.645304602476955,-11.919474072704663,36.03499999997439
