TimeStamp,ECR,FCR,ECU,FCU
313372.7917,-8473.44,711.73,1056.58,-2518.37
313372.7927,-8354.33,829.12,1174.07,-2443.55
313372.7937,-8385.37,806.95,1144.22,-2494.91
313372.7947,-8592.7,605.25,934.03,-2700.95
313372.7957,-8993.39,216.96,535.87,-3070.59
313372.7967,-9509.9,-283.96,25.89,-3532.12
313372.7977,-10086.87,-840.85,-540.92,-4038.81
313372.7987,-10660.03,-1395.13,-1106.6,-4532.53
313372.7997,-11176.83,-1906.68,-1621.06,-4969.79
313372.8007,-11639.69,-2364.73,-2077.53,-5346.01
313372.8017,-11955.79,-2676.39,-2381.13,-5596.69
313372.8027,-12078.29,-2793.65,-2490.85,-5679.13
313372.8037,-12058.21,-2772.86,-2467.54,-5641.13
313372.8047,-11862.8,-2582.41,-2274.75,-5451.87
313372.8057,-11482.53,-2217.82,-1898.48,-5101.97
313372.8067,-10986.14,-1738.5,-1400.09,-4659.18
313372.8077,-10430.05,-1197.34,-847.86,-4171.04
313372.8087,-9866.19,-646.07,-296.07,-3678.42
313372.8097,-9336.09,-129.27,224.26,-3218.79
313372.8107,-8842.99,350.19,706.96,-2796.7
313372.8117,-8502.44,680.97,1035.12,-2524.71
313372.8127,-8377.51,811.48,1149.13,-2443.65
313372.8137,-8398.1,796.94,1125.96,-2488.71
313372.8147,-8603.24,595.62,923.54,-2690.22
313372.8157,-9001.97,206.76,527.62,-3060.53
313372.8167,-9509.52,-291.06,20.93,-3520.87
313372.8177,-10084.44,-850.63,-544.83,-4028.94
313372.8187,-10660.27,-1407.86,-1113.13,-4529.33
313372.8197,-11167.67,-1907.3,-1615.1,-4966.59
313372.8207,-11621.67,-2353.14,-2060.51,-5350.45
313372.8217,-11938.19,-2664.38,-2370.83,-5605.89
313372.8227,-12067.61,-2791.26,-2490.81,-5690.86
313372.8237,-12053.92,-2779.58,-2472.11,-5655.38
313372.8247,-11858.56,-2590.23,-2269.98,-5463.79
313372.8257,-11470.13,-2214.58,-1881.08,-5105.11
313372.8267,-10972.93,-1732.06,-1391.08,-4656.08
313372.8277,-10420.51,-1193.48,-844.24,-4165.17
313372.8287,-9853.89,-644.35,-278.57,-3672.08
313372.8297,-9319.5,-123.21,244.9,-3218.75
313372.8307,-8822.87,362.59,726.56,-2803.99
313372.8317,-8483.94,696.56,1053.24,-2530.0
313372.8327,-8363.58,819.06,1176.07,-2446.32
313372.8337,-8384.13,801.8,1156.9,-2483.99
313372.8347,-8587.65,608.16,937.99,-2683.45
313372.8357,-8989.96,221.01,521.47,-3054.0
313372.8367,-9508.94,-288.06,7.63,-3520.2
313372.8377,-10088.3,-854.54,-554.18,-4027.41
313372.8387,-10671.76,-1418.5,-1122.14,-4529.48
313372.8397,-11199.33,-1930.28,-1638.56,-4978.28
313372.8407,-11669.35,-2385.76,-2094.13,-5373.67
313372.8417,-11991.17,-2700.04,-2403.21,-5632.97
313372.8427,-12108.85,-2809.48,-2514.6,-5716.99
313372.8437,-12073.8,-2773.48,-2479.27,-5667.54
313372.8447,-11863.9,-2578.21,-2269.84,-5466.51
313372.8457,-11472.32,-2212.62,-1881.7,-5111.93
313372.8467,-10970.31,-1726.01,-1386.69,-4661.32
313372.8477,-10420.85,-1179.89,-848.77,-4168.84
313372.8487,-9850.12,-632.19,-290.92,-3665.88
313372.8497,-9309.96,-112.92,239.8,-3200.34
313372.8507,-8805.66,378.08,738.05,-2774.76
313372.8517,-8462.86,713.06,1070.69,-2500.96
313372.8527,-8353.04,828.27,1176.45,-2432.54
313372.8537,-8394.77,793.65,1130.25,-2489.85
313372.8547,-8614.83,584.17,907.28,-2698.99
313372.8557,-9014.18,198.32,517.8,-3066.4
313372.8567,-9523.35,-293.59,29.13,-3521.63
313372.8577,-10095.36,-848.72,-530.72,-4023.03
313372.8587,-10669.66,-1408.48,-1102.45,-4520.94
313372.8597,-11189.27,-1918.17,-1617.24,-4965.88
313372.8607,-11650.09,-2367.64,-2071.48,-5355.02
313372.8617,-11963.7,-2674.15,-2381.85,-5608.7
313372.8627,-12082.58,-2794.89,-2497.24,-5689.72
313372.8637,-12049.39,-2766.42,-2468.87,-5641.89
313372.8647,-11845.64,-2568.82,-2263.59,-5444.72
313372.8657,-11466.84,-2199.51,-1884.08,-5094.96
313372.8667,-10977.56,-1719.47,-1398.37,-4654.03
313372.8677,-10422.42,-1185.94,-847.2,-4163.5
313372.8687,-9855.75,-642.35,-288.44,-3676.37
313372.8697,-9328.6,-132.42,231.36,-3228.28
313372.8707,-8837.32,346.37,711.92,-2814.34
313372.8717,-8503.25,669.29,1035.17,-2543.59
313372.8727,-8385.61,786.21,1149.94,-2466.63
313372.8737,-8409.6,771.9,1122.57,-2513.74
313372.8747,-8618.31,581.41,908.99,-2718.07
313372.8757,-9023.33,195.65,507.4,-3086.14
313372.8767,-9530.97,-295.02,4.91,-3536.89
313372.8777,-10092.83,-838.85,-549.51,-4025.46
313372.8787,-10663.65,-1397.85,-1108.22,-4514.93
313372.8797,-11177.83,-1903.2,-1610.52,-4949.24
313372.8807,-11647.8,-2360.44,-2072.14,-5333.57
313372.8817,-11970.47,-2679.21,-2386.52,-5592.92
313372.8827,-12092.21,-2805.66,-2502.97,-5682.56
313372.8837,-12074.04,-2788.35,-2481.32,-5652.86
313372.8847,-11871.53,-2598.95,-2286.82,-5459.4
313372.8857,-11482.57,-2226.07,-1911.07,-5103.16
313372.8867,-10976.17,-1729.58,-1406.91,-4653.6
313372.8877,-10405.35,-1171.3,-831.56,-4157.16
313372.8887,-9826.47,-613.16,-264.36,-3660.58
313372.8897,-9296.47,-95.32,248.96,-3204.73
313372.8907,-8812.09,379.13,721.03,-2793.98
313372.8917,-8474.02,704.48,1061.63,-2520.7
313372.8927,-8347.56,823.64,1191.81,-2431.35
313372.8937,-8385.75,792.88,1150.75,-2481.03
313372.8947,-8612.16,575.21,922.25,-2699.71
313372.8957,-9016.9,181.87,520.75,-3070.5
313372.8967,-9526.06,-305.46,18.31,-3523.87
313372.8977,-10101.99,-856.59,-553.32,-4035.04
313372.8987,-10669.95,-1412.2,-1119.47,-4538.01
313372.8997,-11184.5,-1918.41,-1626.21,-4983.28
313372.9007,-11650.47,-2372.74,-2080.63,-5368.61
313372.9017,-11962.8,-2674.91,-2380.23,-5616.52
313372.9027,-12076.09,-2787.11,-2483.65,-5688.81
313372.9037,-12058.35,-2779.91,-2462.77,-5648.66
313372.9047,-11853.51,-2594.81,-2254.34,-5449.49
313372.9057,-11460.93,-2222.87,-1865.01,-5090.14
313372.9067,-10971.6,-1741.31,-1381.4,-4647.11
313372.9077,-10403.35,-1186.66,-822.88,-4148.01
313372.9087,-9833.38,-620.79,-267.93,-3652.05
313372.9097,-9300.76,-96.23,246.19,-3198.72
313372.9107,-8805.04,388.67,728.18,-2780.2
313372.9117,-8464.67,721.65,1056.19,-2507.5
313372.9127,-8343.84,844.0,1178.69,-2425.77
313372.9137,-8377.17,816.39,1145.27,-2477.36
313372.9147,-8599.57,601.67,923.2,-2693.7
313372.9157,-9012.13,201.32,517.94,-3069.54
313372.9167,-9537.55,-303.32,1.76,-3537.75
313372.9177,-10121.2,-866.37,-570.3,-4044.96
313372.9187,-10691.41,-1419.54,-1124.62,-4538.06
313372.9197,-11196.04,-1921.84,-1611.23,-4973.84
313372.9207,-11657.0,-2376.51,-2063.47,-5360.65
313372.9217,-11973.91,-2683.93,-2373.36,-5615.43
313372.9227,-12091.35,-2796.27,-2493.24,-5696.15
313372.9237,-12062.26,-2771.66,-2467.54,-5644.13
313372.9247,-11844.4,-2569.72,-2253.48,-5431.8
313372.9257,-11441.28,-2187.78,-1855.95,-5071.93
313372.9267,-10938.36,-1704.88,-1356.74,-4627.8
313372.9277,-10382.27,-1164.77,-810.81,-4137.18
313372.9287,-9816.22,-613.55,-259.92,-3644.18
313372.9297,-9284.26,-102.57,256.68,-3191.71
313372.9307,-8800.6,373.51,734.42,-2785.25
313372.9317,-8478.59,695.75,1052.09,-2525.62
313372.9327,-8362.25,811.62,1172.3,-2450.85
313372.9337,-8379.65,795.84,1149.99,-2493.72
313372.9347,-8577.78,606.11,945.23,-2690.51
313372.9357,-8982.71,216.25,539.21,-3058.1
313372.9367,-9515.29,-293.92,11.59,-3527.36
313372.9377,-10100.18,-861.02,-564.77,-4034.85
313372.9387,-10677.29,-1420.02,-1130.2,-4533.53
313372.9397,-11196.04,-1926.52,-1641.8,-4976.32
313372.9407,-11654.9,-2374.98,-2094.08,-5359.75
313372.9417,-11963.56,-2677.77,-2399.02,-5607.22
313372.9427,-12083.2,-2791.45,-2510.4,-5685.76
313372.9437,-12061.69,-2771.71,-2479.17,-5644.37
313372.9447,-11854.46,-2574.01,-2258.16,-5442.81
313372.9457,-11455.87,-2193.07,-1851.27,-5079.94
313372.9467,-10954.0,-1704.69,-1357.89,-4630.28
313372.9477,-10402.59,-1164.53,-819.83,-4143.62
313372.9487,-9838.63,-615.45,-266.5,-3654.86
313372.9497,-9312.54,-100.33,257.87,-3201.68
313372.9507,-8821.92,376.18,737.57,-2788.21
313372.9517,-8488.18,699.66,1062.73,-2519.75
313372.9527,-8367.59,817.97,1167.97,-2442.22
313372.9537,-8390.76,796.7,1137.07,-2488.95
313372.9547,-8596.95,594.0,929.31,-2695.18
313372.9557,-9002.83,198.75,528.91,-3065.2
313372.9567,-9528.69,-309.09,12.35,-3535.7
313372.9577,-10112.86,-870.99,-558.42,-4049.68
313372.9587,-10690.02,-1426.03,-1125.86,-4550.51
313372.9597,-11211.35,-1934.1,-1636.36,-4997.35
313372.9607,-11670.07,-2388.62,-2087.74,-5384.4
313372.9617,-11978.1,-2696.75,-2386.86,-5636.6
313372.9627,-12095.41,-2812.82,-2501.68,-5712.94
313372.9637,-12067.94,-2791.74,-2479.41,-5665.83
313372.9647,-11860.56,-2597.14,-2269.13,-5463.46
313372.9657,-11472.04,-2222.59,-1879.07,-5107.31
313372.9667,-10970.98,-1739.55,-1380.4,-4658.75
